@relation LinkDisambiguator

@attribute occurances numeric
@attribute maxDisambigConfidence numeric
@attribute avgDisambigConfidence numeric
@attribute relatednessToContext numeric
@attribute relatednessToOtherTopics numeric
@attribute maxLinkProbability numeric
@attribute avgLinkProbability numeric
@attribute generality numeric
@attribute firstOccurance numeric
@attribute lastOccurance numeric
@attribute spread numeric
@attribute isValidLink {TRUE,FALSE}

@data
0.693147,0.952157,0.952157,0.358734,0.323069,0.242818,0.242818,?,0.289515,0.289515,0,FALSE
1.098612,0.956059,0.956059,0.326572,0.257333,0.27551,0.27551,?,0.247969,0.29017,0.042202,FALSE
1.098612,0.952157,0.952157,0.412336,0.378926,0.306675,0.306675,?,0.406684,0.43709,0.030406,FALSE
0.693147,0.952157,0.952157,0.450963,0.409516,0.301339,0.301339,?,0.446658,0.446658,0,FALSE
0.693147,0.210651,0.210651,0.266811,0.224258,0.005249,0.005249,?,0.199476,0.199476,0,FALSE
0.693147,0.952157,0.952157,0.367875,0.314422,0.208333,0.208333,0.6875,0.926474,0.926474,0,TRUE
1.386294,0.952157,0.952157,0.702192,0.574911,0.238806,0.129343,0.5625,0.342464,0.357143,0.014679,TRUE
0.693147,0.952157,0.952157,0.486581,0.439027,0.333285,0.333285,0.625,0.920708,0.920708,0,TRUE
0.693147,0.408971,0.408971,0,0.031974,0.021798,0.021798,0.5625,0.058978,0.058978,0,FALSE
1.791759,0.952157,0.952157,0.476649,0.422807,0.390634,0.390634,0.6875,0.673001,0.773526,0.100524,TRUE
0.693147,0.694784,0.694784,0.255512,0.306892,0.067961,0.067961,?,0.933552,0.933552,0,FALSE
1.94591,0.563291,0.563291,0.267208,0.353501,0.09621,0.09621,?,0.552294,0.742726,0.190433,FALSE
0.693147,0.36033,0.36033,0.388002,0.392957,0.006131,0.006131,0.6875,0.952425,0.952425,0,FALSE
1.386294,0.441326,0.441326,0.371242,0.318365,0.141852,0.141852,0.6875,0.023067,0.988991,0.965924,FALSE
1.098612,0.655521,0.655521,0.311393,0.326073,0.012672,0.012672,0.6875,0.498296,0.692661,0.194364,FALSE
0.693147,0.408971,0.408971,0,0.024503,0.064516,0.064516,?,0.31481,0.31481,0,FALSE
0.693147,0.952157,0.952157,0.353971,0.347541,0.294053,0.294053,?,0.27772,0.27772,0,FALSE
0.693147,0.408971,0.408971,0.044223,0.038637,0.073684,0.073684,0.6875,0.840105,0.840105,0,FALSE
1.386294,0.657067,0.657067,0.577836,0.504847,0.15,0.15,0.625,0.02228,0.988204,0.965924,TRUE
1.386294,0.952157,0.952157,0.66312,0.517985,0.419355,0.317821,0.625,0.245872,0.283093,0.037221,TRUE
0.693147,0.408971,0.408971,0.042572,0.080167,0.057851,0.057851,0.8125,0.936173,0.936173,0,FALSE
0.693147,0.104959,0.104959,0.487469,0.437599,0.007275,0.007275,0.625,0.330144,0.330144,0,FALSE
0.693147,0.62894,0.62894,0.402532,0.343464,0.209812,0.209812,0.6875,0.683355,0.683355,0,FALSE
0.693147,0.952157,0.952157,0.69963,0.58544,0.833333,0.833333,0.4375,0.253473,0.253473,0,TRUE
0.693147,0.408971,0.408971,0,0.003584,0.006475,0.006475,?,0.127392,0.127392,0,FALSE
0.693147,0.952157,0.952157,0.568366,0.482612,0.309524,0.309524,0.5625,0.657274,0.657274,0,TRUE
0.693147,0.952157,0.952157,0.405655,0.359544,0.040743,0.040743,0.75,0.567235,0.567235,0,FALSE
0.693147,0.408971,0.408971,0,0.021927,0.059693,0.059693,0.75,0.973285,0.973285,0,FALSE
1.609438,0.952157,0.952157,0.59248,0.605235,0.604651,0.234496,0.5625,0.63585,0.649928,0.014078,TRUE
1.609438,0.952157,0.952157,0.474629,0.496622,0.117513,0.117513,0.625,0.082363,0.745039,0.662676,TRUE
0.693147,0.408971,0.408971,0.01522,0.026865,0.093057,0.093057,0.6875,0.169826,0.169826,0,FALSE
1.386294,0.408971,0.408971,0.13706,0.087365,0.056638,0.024075,0.75,0.156635,0.796697,0.640062,FALSE
0.693147,0.408971,0.408971,0.018097,0.029332,0.094864,0.094864,0.75,0.328678,0.328678,0,FALSE
1.098612,0.408971,0.408971,0.0531,0.062769,0.14,0.14,0.625,0.54096,0.546724,0.005764,FALSE
0.693147,0.408971,0.408971,0,0.003567,0.053571,0.053571,0.6875,0.916861,0.916861,0,FALSE
0.693147,0.952157,0.952157,0.831376,0.816783,0.38843,0.38843,0.5625,0.564017,0.564017,0,TRUE
0.693147,0.408971,0.408971,0,0.012964,0.005148,0.005148,?,0.021505,0.021505,0,FALSE
0.693147,0.508971,0.508971,0.210077,0.11275,0.1529,0.1529,0.6875,0.771866,0.771866,0,FALSE
0.693147,0.394784,0.394784,0.239501,0.123697,0.014038,0.014038,0.6875,0.978051,0.978051,0,FALSE
1.098612,0.952157,0.952157,0.702021,0.685668,0.707317,0.379974,0.6875,0.377342,0.37845,0.001109,TRUE
